class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.06145642551892551,0.1953125,0.04249244678932179,0.016666666666666666,0.039473684210526314,0.011330409356725147,0.0,0.0,0.0,0.24201201904956648,0.16532315414197193,0.4924422799422799,1,[[  0.   6.   0.   0. 605.]
 [287.  14.   0.   0.   0.]
 [322.   3.   3.   0.   0.]
 [157.   0.   0.   0.  17.]
 [104.   0.   0.   0. 194.]],0.11099331795605757,0.1923834969593898,2.118200038249294,1.8322133006794112
0.17688299554696316,0.34423076923076923,0.13336274836274836,0.1403005013478471,0.14797641383007237,0.21414537359659314,0.17140345336221624,0.17495128010591932,0.24621993127147765,0.28560652447276114,0.22731906723051026,0.4442434549577407,2,[[  0.  43. 140. 119. 465.]
 [139.  33. 129.   0.   0.]
 [174.   0.  51. 101.   2.]
 [ 62.   0.   2.  60.  50.]
 [132.   0.   0.   1. 165.]],0.21077202272072487,0.2984353795179688,1.6752190198749304,1.860209903546742
0.20520329092727282,0.37985347985347984,0.15683760683760684,0.2663394973521556,0.39043600562587905,0.25918863134053005,0.24175348461062748,0.22430228501657076,0.3181318681318681,0.36194947464789845,0.30650965196419744,0.4846200096200096,3,[[  0.  26.  61. 114. 237.]
 [178.  53.  70.   0.   0.]
 [212.   2.  77.  37.   0.]
 [ 69.   0.  12.  77.  16.]
 [ 87.   0.   0.  25. 186.]],0.3314515263175978,0.3500105487270666,1.5168611103047926,1.669978339757238
0.4040699285431507,0.4259654938759417,0.4126128017919063,0.3276042333734641,0.4348290598290598,0.32104885854885856,0.22904507257448434,0.24683473389355742,0.27019607843137255,0.3938814768440352,0.3684600015369246,0.45992673992673994,4,[[  0. 112.  40.  62. 162.]
 [121. 155.  24.   1.   0.]
 [177.  24.  90.  37.   0.]
 [ 76.   0.  23.  59.  16.]
 [112.   0.   0.  15. 171.]],0.3916921269041804,0.4106936714079571,1.4212845625976722,1.5521287726504462
0.4129530693504887,0.40879248543866625,0.4932049708169111,0.32880273941331273,0.3763009845288326,0.3491679909401428,0.22955704789038123,0.2144047619047619,0.3214814814814814,0.3775403953635658,0.3042297453422773,0.5401138716356108,5,[[  0. 206. 102. 119. 285.]
 [ 93. 185.  22.   1.   0.]
 [153.  30.  98.  47.   0.]
 [ 45.   0.  22.  72.  35.]
 [ 69.   0.   0.  22. 207.]],0.3296063984548753,0.4616268445509517,1.360305765333275,1.5169946146862847
0.23280122655122654,0.41276041666666663,0.18287450396825397,0.29173616668170044,0.3581352803575026,0.3722035166479611,0.2564572094572094,0.22815909090909087,0.3646666666666667,0.4113245999473051,0.3650728331497562,0.5054639804639804,6,[[  0.  40. 170. 192. 182.]
 [128.  48. 122.   3.   0.]
 [161.   2.  85.  80.   0.]
 [ 57.   0.   9.  96.  12.]
 [ 83.   0.   0.  28. 187.]],0.3411185788417931,0.39835936426338214,1.3248191022624571,1.6034271360508032
0.33596113077435247,0.3898208273208273,0.31938759893305346,0.3393262297148852,0.3184072871572872,0.4720972479901051,0.20100921026846952,0.2275720164609053,0.20802469135802468,0.38273691275332306,0.30916420181126064,0.5422385620915032,7,[[  0.  97. 174.  55. 277.]
 [112. 109.  80.   0.   0.]
 [166.   7. 141.  14.   0.]
 [ 51.   0.  43.  44.  36.]
 [ 78.   0.   0.  11. 209.]],0.31932376073001073,0.42525834986772487,1.3023942687238257,1.540758112711566
0.3574084002278486,0.41160905592723773,0.3401662731208186,0.3925742688518249,0.383295085102314,0.5052956414402198,0.32058015612232477,0.3172977624784854,0.36566265060240966,0.36605107360454947,0.3340367965367965,0.43161976911976907,8,[[  0.  82. 121.  79. 162.]
 [123. 124.  54.   0.   0.]
 [140.  15. 151.  22.   0.]
 [ 47.   0.  42.  71.  14.]
 [103.   0.   0.  29. 166.]],0.37969595508658005,0.4576774870301656,1.2579596114034455,1.554909163819892
